test_case,test_ast
"CSVRecord_10_2Test.testGetRecordNumber","&lt;TESTCASE&gt;&lt;SIGNATURE&gt;testGetRecordNumber&lt;/SIGNATURE&gt;&lt;BODY&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_1/&gt;&lt;TYPE-String/&gt;&lt;VALUE-_value1_/&gt;&lt;VALUE-_value2_/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Map/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_2/&gt;&lt;CALL&gt;&lt;METHOD-emptyMap/&gt;&lt;PARAMS&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_3/&gt;&lt;VALUE-_comment_/&gt;&lt;/ASSIGNMENT&gt;&lt;NAME-id_4/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_5/&gt;&lt;VALUE-123L/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Constructor/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_6/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredConstructor/&gt;&lt;PARAMS&gt;&lt;TYPE-String/&gt;&lt;TYPE-Map/&gt;&lt;TYPE-String/&gt;&lt;NAME-id_4/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_7/&gt;&lt;CALL&gt;&lt;METHOD-newInstance/&gt;&lt;PARAMS&gt;&lt;NAME-id_1/&gt;&lt;NAME-id_2/&gt;&lt;NAME-id_3/&gt;&lt;NAME-id_5/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;NAME-id_4/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_8/&gt;&lt;CALL&gt;&lt;METHOD-getRecordNumber/&gt;&lt;PARAMS&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;/BODY&gt;&lt;/TESTCASE&gt;"
"CSVRecord_11_1Test.testSize_withNonEmptyValues","&lt;TESTCASE&gt;&lt;SIGNATURE&gt;testSize_withNonEmptyValues&lt;/SIGNATURE&gt;&lt;BODY&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_1/&gt;&lt;TYPE-String/&gt;&lt;VALUE-_a_/&gt;&lt;VALUE-_b_/&gt;&lt;VALUE-_c_/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Map/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_2/&gt;&lt;CALL&gt;&lt;METHOD-mock/&gt;&lt;PARAMS&gt;&lt;TYPE-Map/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-CSVRecord/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_3/&gt;&lt;CALL&gt;&lt;METHOD-newInstance/&gt;&lt;PARAMS&gt;&lt;TYPE-Object/&gt;&lt;NAME-id_1/&gt;&lt;NAME-id_2/&gt;&lt;VALUE-_comment_/&gt;&lt;VALUE-1L/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;NAME-id_4/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_5/&gt;&lt;CALL&gt;&lt;METHOD-size/&gt;&lt;PARAMS&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;/BODY&gt;&lt;/TESTCASE&gt;"
"CSVRecord_11_1Test.testSize_withEmptyValues","&lt;TESTCASE&gt;&lt;SIGNATURE&gt;testSize_withEmptyValues&lt;/SIGNATURE&gt;&lt;BODY&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_1/&gt;&lt;TYPE-String/&gt;&lt;VALUE-0/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Map/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_2/&gt;&lt;CALL&gt;&lt;METHOD-mock/&gt;&lt;PARAMS&gt;&lt;TYPE-Map/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-CSVRecord/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_3/&gt;&lt;CALL&gt;&lt;METHOD-newInstance/&gt;&lt;PARAMS&gt;&lt;TYPE-Object/&gt;&lt;NAME-id_1/&gt;&lt;NAME-id_2/&gt;&lt;VALUE-null/&gt;&lt;VALUE-0L/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;NAME-id_4/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_5/&gt;&lt;CALL&gt;&lt;METHOD-size/&gt;&lt;PARAMS&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;/BODY&gt;&lt;/TESTCASE&gt;"
"CSVRecord_11_1Test.testSize_withNullValuesField","&lt;TESTCASE&gt;&lt;SIGNATURE&gt;testSize_withNullValuesField&lt;/SIGNATURE&gt;&lt;BODY&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_1/&gt;&lt;TYPE-String/&gt;&lt;VALUE-_x_/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Map/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_2/&gt;&lt;CALL&gt;&lt;METHOD-mock/&gt;&lt;PARAMS&gt;&lt;TYPE-Map/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-CSVRecord/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_3/&gt;&lt;CALL&gt;&lt;METHOD-newInstance/&gt;&lt;PARAMS&gt;&lt;TYPE-Object/&gt;&lt;NAME-id_1/&gt;&lt;NAME-id_2/&gt;&lt;VALUE-null/&gt;&lt;VALUE-0L/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Field/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_4/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredField/&gt;&lt;PARAMS&gt;&lt;VALUE-_values_/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-Field/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_5/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredField/&gt;&lt;PARAMS&gt;&lt;VALUE-_modifiers_/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-Field/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;CALL&gt;&lt;METHOD-setInt/&gt;&lt;PARAMS&gt;&lt;NAME-id_4/&gt;&lt;CALL&gt;&lt;METHOD-getModifiers/&gt;&lt;PARAMS&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;NAME-id_6/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;CALL&gt;&lt;METHOD-set/&gt;&lt;PARAMS&gt;&lt;NAME-id_3/&gt;&lt;VALUE-null/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TRY&gt;&lt;BODY&gt;&lt;CALL&gt;&lt;METHOD-size/&gt;&lt;PARAMS&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/BODY&gt;&lt;/TRY&gt;&lt;TYPE-AssertionError/&gt;&lt;VALUE-_Expected_NullPointerException_when_values_is_null_/&gt;&lt;/BODY&gt;&lt;/TESTCASE&gt;"
"CSVRecord_1_3Test.testConstructor_withValuesAndMappingAndCommentAndRecordNumber","&lt;TESTCASE&gt;&lt;SIGNATURE&gt;testConstructor_withValuesAndMappingAndCommentAndRecordNumber&lt;/SIGNATURE&gt;&lt;BODY&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_1/&gt;&lt;TYPE-String/&gt;&lt;VALUE-_value1_/&gt;&lt;VALUE-_value2_/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Map/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_2/&gt;&lt;TYPE-HashMap/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-put/&gt;&lt;PARAMS&gt;&lt;VALUE-_col1_/&gt;&lt;VALUE-0/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;CALL&gt;&lt;METHOD-put/&gt;&lt;PARAMS&gt;&lt;VALUE-_col2_/&gt;&lt;VALUE-1/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_3/&gt;&lt;VALUE-_This_is_a_comment_/&gt;&lt;/ASSIGNMENT&gt;&lt;NAME-id_4/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_5/&gt;&lt;VALUE-123L/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Constructor/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_6/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredConstructor/&gt;&lt;PARAMS&gt;&lt;TYPE-String/&gt;&lt;TYPE-Map/&gt;&lt;TYPE-String/&gt;&lt;NAME-id_4/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_7/&gt;&lt;CALL&gt;&lt;METHOD-newInstance/&gt;&lt;PARAMS&gt;&lt;NAME-id_1/&gt;&lt;NAME-id_2/&gt;&lt;NAME-id_3/&gt;&lt;NAME-id_5/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Field/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_8/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredField/&gt;&lt;PARAMS&gt;&lt;VALUE-_values_/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_9/&gt;&lt;TYPE-String/&gt;&lt;CALL&gt;&lt;METHOD-get/&gt;&lt;PARAMS&gt;&lt;NAME-id_7/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Field/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_10/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredField/&gt;&lt;PARAMS&gt;&lt;VALUE-_mapping_/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;NAME-id_11/&gt;&lt;TYPE-Map/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_12/&gt;&lt;TYPE-Map/&gt;&lt;CALL&gt;&lt;METHOD-get/&gt;&lt;PARAMS&gt;&lt;NAME-id_7/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Field/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_13/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredField/&gt;&lt;PARAMS&gt;&lt;VALUE-_comment_/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_14/&gt;&lt;TYPE-String/&gt;&lt;CALL&gt;&lt;METHOD-get/&gt;&lt;PARAMS&gt;&lt;NAME-id_7/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Field/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_15/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredField/&gt;&lt;PARAMS&gt;&lt;VALUE-_recordNumber_/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;NAME-id_4/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_16/&gt;&lt;CALL&gt;&lt;METHOD-getLong/&gt;&lt;PARAMS&gt;&lt;NAME-id_7/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;/BODY&gt;&lt;/TESTCASE&gt;"
"CSVRecord_1_3Test.testConstructor_withNullValues_setsEmptyStringArray","&lt;TESTCASE&gt;&lt;SIGNATURE&gt;testConstructor_withNullValues_setsEmptyStringArray&lt;/SIGNATURE&gt;&lt;BODY&gt;&lt;TYPE-Map/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_1/&gt;&lt;CALL&gt;&lt;METHOD-emptyMap/&gt;&lt;PARAMS&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_2/&gt;&lt;VALUE-null/&gt;&lt;/ASSIGNMENT&gt;&lt;NAME-id_3/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_4/&gt;&lt;VALUE-0L/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Constructor/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_5/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredConstructor/&gt;&lt;PARAMS&gt;&lt;TYPE-String/&gt;&lt;TYPE-Map/&gt;&lt;TYPE-String/&gt;&lt;NAME-id_3/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_6/&gt;&lt;CALL&gt;&lt;METHOD-newInstance/&gt;&lt;PARAMS&gt;&lt;TYPE-Object/&gt;&lt;VALUE-null/&gt;&lt;NAME-id_1/&gt;&lt;NAME-id_2/&gt;&lt;NAME-id_4/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Field/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_7/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredField/&gt;&lt;PARAMS&gt;&lt;VALUE-_values_/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_8/&gt;&lt;TYPE-String/&gt;&lt;CALL&gt;&lt;METHOD-get/&gt;&lt;PARAMS&gt;&lt;NAME-id_6/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;/BODY&gt;&lt;/TESTCASE&gt;"
"CSVRecord_9_3Test.testGetComment","&lt;TESTCASE&gt;&lt;SIGNATURE&gt;testGetComment&lt;/SIGNATURE&gt;&lt;BODY&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_1/&gt;&lt;TYPE-String/&gt;&lt;VALUE-_value1_/&gt;&lt;VALUE-_value2_/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Map/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_2/&gt;&lt;CALL&gt;&lt;METHOD-emptyMap/&gt;&lt;PARAMS&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_3/&gt;&lt;VALUE-_This_is_a_comment_/&gt;&lt;/ASSIGNMENT&gt;&lt;NAME-id_4/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_5/&gt;&lt;VALUE-123L/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Constructor/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_6/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredConstructor/&gt;&lt;PARAMS&gt;&lt;TYPE-String/&gt;&lt;TYPE-Map/&gt;&lt;TYPE-String/&gt;&lt;NAME-id_4/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_7/&gt;&lt;CALL&gt;&lt;METHOD-newInstance/&gt;&lt;PARAMS&gt;&lt;TYPE-Object/&gt;&lt;NAME-id_1/&gt;&lt;NAME-id_2/&gt;&lt;NAME-id_3/&gt;&lt;NAME-id_5/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;/BODY&gt;&lt;/TESTCASE&gt;"
"CSVRecord_9_3Test.testGetCommentNull","&lt;TESTCASE&gt;&lt;SIGNATURE&gt;testGetCommentNull&lt;/SIGNATURE&gt;&lt;BODY&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_1/&gt;&lt;TYPE-String/&gt;&lt;VALUE-_value1_/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Map/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_2/&gt;&lt;CALL&gt;&lt;METHOD-emptyMap/&gt;&lt;PARAMS&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_3/&gt;&lt;VALUE-null/&gt;&lt;/ASSIGNMENT&gt;&lt;NAME-id_4/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_5/&gt;&lt;VALUE-1L/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Constructor/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_6/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredConstructor/&gt;&lt;PARAMS&gt;&lt;TYPE-String/&gt;&lt;TYPE-Map/&gt;&lt;TYPE-String/&gt;&lt;NAME-id_4/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_7/&gt;&lt;CALL&gt;&lt;METHOD-newInstance/&gt;&lt;PARAMS&gt;&lt;TYPE-Object/&gt;&lt;NAME-id_1/&gt;&lt;NAME-id_2/&gt;&lt;NAME-id_3/&gt;&lt;NAME-id_5/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;/BODY&gt;&lt;/TESTCASE&gt;"
"CSVRecord_9_2Test.testGetComment_withNonNullComment","&lt;TESTCASE&gt;&lt;SIGNATURE&gt;testGetComment_withNonNullComment&lt;/SIGNATURE&gt;&lt;BODY&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_1/&gt;&lt;TYPE-String/&gt;&lt;VALUE-_value1_/&gt;&lt;VALUE-_value2_/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Map/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_2/&gt;&lt;TYPE-HashMap/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-put/&gt;&lt;PARAMS&gt;&lt;VALUE-_col1_/&gt;&lt;VALUE-0/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;CALL&gt;&lt;METHOD-put/&gt;&lt;PARAMS&gt;&lt;VALUE-_col2_/&gt;&lt;VALUE-1/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_3/&gt;&lt;VALUE-_This_is_a_comment_/&gt;&lt;/ASSIGNMENT&gt;&lt;NAME-id_4/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_5/&gt;&lt;VALUE-1L/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Constructor/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_6/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredConstructor/&gt;&lt;PARAMS&gt;&lt;TYPE-String/&gt;&lt;TYPE-Map/&gt;&lt;TYPE-String/&gt;&lt;NAME-id_4/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_7/&gt;&lt;CALL&gt;&lt;METHOD-newInstance/&gt;&lt;PARAMS&gt;&lt;NAME-id_1/&gt;&lt;NAME-id_2/&gt;&lt;NAME-id_3/&gt;&lt;NAME-id_5/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;/BODY&gt;&lt;/TESTCASE&gt;"
"CSVRecord_9_2Test.testGetComment_withNullComment","&lt;TESTCASE&gt;&lt;SIGNATURE&gt;testGetComment_withNullComment&lt;/SIGNATURE&gt;&lt;BODY&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_1/&gt;&lt;TYPE-String/&gt;&lt;VALUE-_value1_/&gt;&lt;VALUE-_value2_/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Map/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_2/&gt;&lt;TYPE-HashMap/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-String/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_3/&gt;&lt;VALUE-null/&gt;&lt;/ASSIGNMENT&gt;&lt;NAME-id_4/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_5/&gt;&lt;VALUE-2L/&gt;&lt;/ASSIGNMENT&gt;&lt;TYPE-Constructor/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_6/&gt;&lt;CALL&gt;&lt;METHOD-getDeclaredConstructor/&gt;&lt;PARAMS&gt;&lt;TYPE-String/&gt;&lt;TYPE-Map/&gt;&lt;TYPE-String/&gt;&lt;NAME-id_4/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;/ASSIGNMENT&gt;&lt;CALL&gt;&lt;METHOD-setAccessible/&gt;&lt;PARAMS&gt;&lt;VALUE-true/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;TYPE-CSVRecord/&gt;&lt;ASSIGNMENT&gt;&lt;VAR-id_7/&gt;&lt;CALL&gt;&lt;METHOD-newInstance/&gt;&lt;PARAMS&gt;&lt;NAME-id_1/&gt;&lt;NAME-id_2/&gt;&lt;NAME-id_3/&gt;&lt;NAME-id_5/&gt;&lt;/PARAMS&gt;&lt;/CALL&gt;&lt;/ASSIGNMENT&gt;&lt;/BODY&gt;&lt;/TESTCASE&gt;"
