project_name,target_class,test_class,total_methods,bug_revealing_methods,bug_revealing_rate,has_bug_revealing,br_score
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_1Test,1,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_2Test,1,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_3Test,1,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_4Test,1,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_5Test,1,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_6Test,1,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_11_1Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_11_2Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_11_3Test,1,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_11_4Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_11_5Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_11_6Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_1Test,2,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_2Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_3Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_4Test,2,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_5Test,2,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_6Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_1Test,2,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_2Test,2,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_3Test,2,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_4Test,2,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_5Test,2,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_6Test,2,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_1Test,5,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_2Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_3Test,6,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_4Test,6,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_5Test,5,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_6Test,1,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_1Test,4,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_2Test,4,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_3Test,4,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_4Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_5Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_6Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_1Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_2Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_3Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_4Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_5Test,3,0,0.0,false,0.0
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_6Test,3,0,0.0,false,0.0
