project,target_class,test_class,exec_status,m_per_line_cov,m_per_line_total,m_per_line_rate,m_per_branch_cov,m_per_branch_total,m_per_branch_rate,line_contrib_pct,branch_contrib_pct,coverage_score,f_per_line_cov,f_per_line_total,f_per_line_rate,f_per_branch_cov,f_per_branch_total,f_per_branch_rate,f_line_contrib_pct,f_branch_contrib_pct,f_coverage_score
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_11_1Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,1,100.0,,,,100.0,0.0,0.5
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_1_1Test,ok,20,21,95.2381,10,16,62.5,95.2381,62.5,0.78869,6,6,100.0,2,2,100.0,100.0,100.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_12_1Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,1,100.0,,,,100.0,0.0,0.5
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_8_1Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,1,100.0,,,,100.0,0.0,0.5
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_9_1Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,1,100.0,,,,100.0,0.0,0.5
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_2_1Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,5,20.0,0,4,0.0,20.0,0.0,0.1
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_3_1Test,ok,11,21,52.381,5,16,31.25,52.381,31.25,0.418155,4,5,80.0,4,4,100.0,80.0,100.0,0.9
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_5_1Test,ok,8,21,38.0952,3,16,18.75,38.0952,18.75,0.284226,1,1,100.0,2,2,100.0,100.0,100.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_10_1Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,1,100.0,,,,100.0,0.0,0.5
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_7_1Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,1,100.0,,,,100.0,0.0,0.5
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_4_1Test,ok,8,21,38.0952,5,16,31.25,38.0952,31.25,0.346726,1,1,100.0,4,4,100.0,100.0,100.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_6_1Test,ok,9,21,42.8571,6,16,37.5,42.8571,37.5,0.401786,1,1,100.0,4,4,100.0,100.0,100.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_10_2Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,1,100.0,,,,100.0,0.0,0.5
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_9_2Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,1,100.0,,,,100.0,0.0,0.5
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_6_2Test,ok,9,21,42.8571,6,16,37.5,42.8571,37.5,0.401786,1,1,100.0,4,4,100.0,100.0,100.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_4_2Test,ok,8,21,38.0952,5,16,31.25,38.0952,31.25,0.346726,1,1,100.0,4,4,100.0,100.0,100.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_11_2Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,1,100.0,,,,100.0,0.0,0.5
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_7_2Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,1,100.0,,,,100.0,0.0,0.5
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_2_2Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,5,20.0,0,4,0.0,20.0,0.0,0.1
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_8_2Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,1,100.0,,,,100.0,0.0,0.5
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_1_2Test,fail,20,21,95.2381,10,16,62.5,95.2381,62.5,0.78869,6,6,100.0,2,2,100.0,100.0,100.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_3_2Test,ok,11,21,52.381,5,16,31.25,52.381,31.25,0.418155,4,5,80.0,4,4,100.0,80.0,100.0,0.9
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_5_2Test,ok,8,21,38.0952,3,16,18.75,38.0952,18.75,0.284226,1,1,100.0,2,2,100.0,100.0,100.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_12_2Test,ok,8,21,38.0952,1,16,6.25,38.0952,6.25,0.221726,1,1,100.0,,,,100.0,0.0,0.5
