test_class,focal_method,compile_score,exec_score,coverage_score,bug_revealing_score,redundancy_score,final_score,valid_weight_pct
org.apache.commons.csv.CSVRecord_11_1Test,size,1.0,1.0,0.221726,0.0,0.04797,0.556924,1.0
org.apache.commons.csv.CSVRecord_11_2Test,size,1.0,1.0,0.221726,0.0,0.060606,0.554397,1.0
org.apache.commons.csv.CSVRecord_1_1Test,CSVRecord,1.0,1.0,0.78869,0.0,0.209486,0.69471,1.0
org.apache.commons.csv.CSVRecord_1_2Test,CSVRecord,1.0,0.0,0.78869,0.0,0.209486,0.54471,1.0
org.apache.commons.csv.CSVRecord_12_1Test,toString,1.0,1.0,0.221726,0.0,0.10559,0.5454,1.0
org.apache.commons.csv.CSVRecord_12_2Test,toString,1.0,1.0,0.221726,0.0,0.277937,0.51093,1.0
org.apache.commons.csv.CSVRecord_8_1Test,values,1.0,1.0,0.221726,0.0,0.255814,0.515355,1.0
org.apache.commons.csv.CSVRecord_8_2Test,values,1.0,1.0,0.221726,0.0,0.175258,0.531466,1.0
org.apache.commons.csv.CSVRecord_9_1Test,getComment,1.0,1.0,0.221726,0.0,0.015385,0.563441,1.0
org.apache.commons.csv.CSVRecord_9_2Test,getComment,1.0,1.0,0.221726,0.0,0.0,0.566518,1.0
org.apache.commons.csv.CSVRecord_2_1Test,get,1.0,1.0,0.221726,0.0,0.057143,0.555089,1.0
org.apache.commons.csv.CSVRecord_2_2Test,get,1.0,1.0,0.221726,0.0,0.416058,0.483306,1.0
org.apache.commons.csv.CSVRecord_3_1Test,get,1.0,1.0,0.418155,0.0,0.417722,0.541902,1.0
org.apache.commons.csv.CSVRecord_3_2Test,get,1.0,1.0,0.418155,0.0,0.368421,0.551762,1.0
org.apache.commons.csv.CSVRecord_5_1Test,isMapped,1.0,1.0,0.284226,0.0,0.009174,0.583433,1.0
org.apache.commons.csv.CSVRecord_5_2Test,isMapped,1.0,1.0,0.284226,0.0,0.46875,0.491518,1.0
org.apache.commons.csv.CSVRecord_10_1Test,getRecordNumber,1.0,1.0,0.221726,0.0,0.428571,0.480804,1.0
org.apache.commons.csv.CSVRecord_10_2Test,getRecordNumber,1.0,1.0,0.221726,0.0,0.115385,0.543441,1.0
org.apache.commons.csv.CSVRecord_7_1Test,iterator,1.0,1.0,0.221726,0.0,0.123894,0.541739,1.0
org.apache.commons.csv.CSVRecord_7_2Test,iterator,1.0,1.0,0.221726,0.0,0.228916,0.520735,1.0
org.apache.commons.csv.CSVRecord_4_1Test,isConsistent,1.0,1.0,0.346726,0.0,0.210084,0.562001,1.0
org.apache.commons.csv.CSVRecord_4_2Test,isConsistent,1.0,1.0,0.346726,0.0,0.042735,0.595471,1.0
org.apache.commons.csv.CSVRecord_6_1Test,isSet,1.0,1.0,0.401786,0.0,0.236842,0.573167,1.0
org.apache.commons.csv.CSVRecord_6_2Test,isSet,1.0,1.0,0.401786,0.0,0.233161,0.573904,1.0
