project,target_class,test_class,compile_status,exec_status,exec_timeout,jacoco_exec_size,compile_score,exec_score
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_11_1Test,pass,pass,False,106047,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_1_1Test,pass,pass,False,32792,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_12_1Test,pass,pass,False,32454,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_8_1Test,pass,pass,False,32526,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_9_1Test,pass,pass,False,32611,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_2_1Test,pass,pass,False,32504,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_3_1Test,pass,pass,False,109800,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_5_1Test,pass,pass,False,32436,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_10_1Test,pass,pass,False,32398,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_7_1Test,pass,pass,False,106248,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_4_1Test,pass,pass,False,32437,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_6_1Test,pass,pass,False,32549,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_10_2Test,pass,pass,False,32511,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_9_2Test,pass,pass,False,32499,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_6_2Test,pass,pass,False,32550,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_4_2Test,pass,pass,False,32549,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_11_2Test,pass,pass,False,106095,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_7_2Test,pass,pass,False,106050,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_2_2Test,pass,pass,False,32504,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_8_2Test,pass,pass,False,32418,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_1_2Test,pass,fail,False,33233,1.0,0.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_3_2Test,pass,pass,False,32550,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_5_2Test,pass,pass,False,109687,1.0,1.0
Csv_2_b,CSVRecord,org.apache.commons.csv.CSVRecord_12_2Test,pass,pass,False,32455,1.0,1.0
