project,target_class,test_case_1,test_case_2,combined_subtree_size,combined_similarity,redundancy_score
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_2Test,org.apache.commons.csv.CSVRecord_10_3Test,46,0.884615,0.115385
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_5Test,org.apache.commons.csv.CSVRecord_10_4Test,46,0.948454,0.051546
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_4Test,org.apache.commons.csv.CSVRecord_10_5Test,46,0.948454,0.051546
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_6Test,org.apache.commons.csv.CSVRecord_10_1Test,4,0.571429,0.428571
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_3Test,org.apache.commons.csv.CSVRecord_10_5Test,46,0.929293,0.070707
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_1Test,org.apache.commons.csv.CSVRecord_10_6Test,4,0.571429,0.428571
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_11_1Test,org.apache.commons.csv.CSVRecord_11_6Test,129,0.952030,0.047970
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_11_5Test,org.apache.commons.csv.CSVRecord_11_4Test,138,0.913907,0.086093
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_11_2Test,org.apache.commons.csv.CSVRecord_11_1Test,124,0.939394,0.060606
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_11_6Test,org.apache.commons.csv.CSVRecord_11_1Test,129,0.952030,0.047970
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_11_4Test,org.apache.commons.csv.CSVRecord_11_5Test,138,0.913907,0.086093
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_11_3Test,org.apache.commons.csv.CSVRecord_11_2Test,49,0.535519,0.464481
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_3Test,org.apache.commons.csv.CSVRecord_1_5Test,195,0.975000,0.025000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_1Test,org.apache.commons.csv.CSVRecord_1_2Test,100,0.790514,0.209486
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_5Test,org.apache.commons.csv.CSVRecord_1_3Test,195,0.975000,0.025000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_2Test,org.apache.commons.csv.CSVRecord_1_1Test,100,0.790514,0.209486
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_6Test,org.apache.commons.csv.CSVRecord_1_4Test,212,0.867076,0.132924
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_4Test,org.apache.commons.csv.CSVRecord_1_6Test,212,0.867076,0.132924
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_3Test,org.apache.commons.csv.CSVRecord_9_1Test,96,0.984615,0.015385
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_2Test,org.apache.commons.csv.CSVRecord_9_5Test,103,1.000000,0.000000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_1Test,org.apache.commons.csv.CSVRecord_9_3Test,96,0.984615,0.015385
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_6Test,org.apache.commons.csv.CSVRecord_9_1Test,90,0.833333,0.166667
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_5Test,org.apache.commons.csv.CSVRecord_9_2Test,103,1.000000,0.000000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_4Test,org.apache.commons.csv.CSVRecord_9_1Test,61,0.753086,0.246914
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_5Test,org.apache.commons.csv.CSVRecord_4_4Test,59,0.842857,0.157143
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_2Test,org.apache.commons.csv.CSVRecord_4_3Test,112,0.957265,0.042735
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_3Test,org.apache.commons.csv.CSVRecord_4_2Test,112,0.957265,0.042735
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_1Test,org.apache.commons.csv.CSVRecord_4_6Test,141,0.789916,0.210084
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_4Test,org.apache.commons.csv.CSVRecord_4_5Test,59,0.842857,0.157143
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_6Test,org.apache.commons.csv.CSVRecord_4_1Test,141,0.789916,0.210084
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_2Test,org.apache.commons.csv.CSVRecord_6_6Test,74,0.766839,0.233161
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_4Test,org.apache.commons.csv.CSVRecord_6_1Test,38,0.612903,0.387097
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_3Test,org.apache.commons.csv.CSVRecord_6_6Test,60,0.659341,0.340659
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_5Test,org.apache.commons.csv.CSVRecord_6_3Test,52,0.587571,0.412429
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_6Test,org.apache.commons.csv.CSVRecord_6_2Test,74,0.766839,0.233161
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_1Test,org.apache.commons.csv.CSVRecord_6_2Test,58,0.763158,0.236842
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_3Test,org.apache.commons.csv.CSVRecord_2_4Test,47,0.839286,0.160714
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_1Test,org.apache.commons.csv.CSVRecord_2_5Test,66,0.942857,0.057143
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_2Test,org.apache.commons.csv.CSVRecord_2_3Test,40,0.583942,0.416058
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_6Test,org.apache.commons.csv.CSVRecord_2_1Test,38,0.655172,0.344828
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_5Test,org.apache.commons.csv.CSVRecord_2_1Test,66,0.942857,0.057143
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_4Test,org.apache.commons.csv.CSVRecord_2_3Test,47,0.839286,0.160714
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_6Test,org.apache.commons.csv.CSVRecord_8_2Test,40,0.824742,0.175258
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_4Test,org.apache.commons.csv.CSVRecord_8_5Test,54,0.705882,0.294118
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_1Test,org.apache.commons.csv.CSVRecord_8_2Test,32,0.744186,0.255814
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_5Test,org.apache.commons.csv.CSVRecord_8_2Test,37,0.718447,0.281553
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_2Test,org.apache.commons.csv.CSVRecord_8_6Test,40,0.824742,0.175258
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_3Test,org.apache.commons.csv.CSVRecord_8_1Test,45,0.731707,0.268293
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_3Test,org.apache.commons.csv.CSVRecord_7_6Test,12,0.545455,0.454545
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_2Test,org.apache.commons.csv.CSVRecord_7_4Test,96,0.771084,0.228916
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_1Test,org.apache.commons.csv.CSVRecord_7_5Test,99,0.876106,0.123894
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_6Test,org.apache.commons.csv.CSVRecord_7_3Test,12,0.545455,0.454545
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_4Test,org.apache.commons.csv.CSVRecord_7_5Test,130,0.984848,0.015152
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_5Test,org.apache.commons.csv.CSVRecord_7_4Test,130,0.984848,0.015152
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_1Test,org.apache.commons.csv.CSVRecord_12_4Test,72,0.894410,0.105590
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_6Test,org.apache.commons.csv.CSVRecord_12_3Test,136,0.821752,0.178248
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_3Test,org.apache.commons.csv.CSVRecord_12_6Test,136,0.821752,0.178248
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_5Test,org.apache.commons.csv.CSVRecord_12_4Test,16,0.363636,0.636364
