project,target_class,test_case_1,test_case_2,topdown_subtree_size,topdown_similarity,bottomup_subtree_size,bottomup_similarity,combined_subtree_size,combined_similarity,redundancy_score
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_2Test,org.apache.commons.csv.CSVRecord_10_5Test,44,0.838095,36,0.685714,46,0.876190,0.123810
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_2Test,org.apache.commons.csv.CSVRecord_10_4Test,41,0.803922,34,0.666667,43,0.843137,0.156863
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_2Test,org.apache.commons.csv.CSVRecord_10_6Test,7,0.215385,5,0.153846,10,0.307692,0.692308
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_2Test,org.apache.commons.csv.CSVRecord_10_3Test,45,0.865385,38,0.730769,46,0.884615,0.115385
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_2Test,org.apache.commons.csv.CSVRecord_10_1Test,3,0.101695,1,0.033898,4,0.135593,0.864407
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_5Test,org.apache.commons.csv.CSVRecord_10_4Test,45,0.927835,35,0.721649,46,0.948454,0.051546
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_5Test,org.apache.commons.csv.CSVRecord_10_6Test,7,0.233333,4,0.133333,9,0.300000,0.700000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_5Test,org.apache.commons.csv.CSVRecord_10_3Test,45,0.909091,35,0.707071,46,0.929293,0.070707
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_5Test,org.apache.commons.csv.CSVRecord_10_1Test,3,0.111111,1,0.037037,4,0.148148,0.851852
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_4Test,org.apache.commons.csv.CSVRecord_10_6Test,6,0.210526,3,0.105263,9,0.315789,0.684211
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_4Test,org.apache.commons.csv.CSVRecord_10_3Test,42,0.875000,33,0.687500,43,0.895833,0.104167
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_4Test,org.apache.commons.csv.CSVRecord_10_1Test,3,0.117647,1,0.039216,4,0.156863,0.843137
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_6Test,org.apache.commons.csv.CSVRecord_10_3Test,7,0.237288,4,0.135593,9,0.305085,0.694915
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_10_6Test,org.apache.commons.csv.CSVRecord_10_1Test,3,0.428571,1,0.142857,4,0.571429,0.428571
